Reception time,IP,Attribute,,Part,Score,Times,Edad,Residencia previos ,ResidenciaActual,Nacimiento,Idioma,Group,Experiment,Item,Itemnu,Mood,Factive,Verb,Words
1654500360,1,PennController,29,_Trial_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+2,22,subj,factive,conseguir,5
1654500360,1,PennController,29,_Header_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+2,22,subj,factive,conseguir,5
1654500360,1,PennController,29,_Header_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+2,22,subj,factive,conseguir,5
1654500360,1,Scale,escala,Choice,5,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+2,22,subj,factive,conseguir,5
1654500360,1,PennController,29,_Trial_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+2,22,subj,factive,conseguir,5
1654500360,1,PennController,24,_Trial_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+17+subj,17,subj,non-factive,decir,19
1654500360,1,PennController,24,_Header_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+17+subj,17,subj,non-factive,decir,19
1654500360,1,PennController,24,_Header_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+17+subj,17,subj,non-factive,decir,19
1654500360,1,Scale,escala,Choice,5,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+17+subj,17,subj,non-factive,decir,19
1654500360,1,PennController,24,_Trial_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+17+subj,17,subj,non-factive,decir,19
1654500360,1,PennController,32,_Trial_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+5,25,subj,non-factive,desear,5
1654500360,1,PennController,32,_Header_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+5,25,subj,non-factive,desear,5
1654500360,1,PennController,32,_Header_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+5,25,subj,non-factive,desear,5
1654500360,1,Scale,escala,Choice,5,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+5,25,subj,non-factive,desear,5
1654500360,1,PennController,32,_Trial_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+5,25,subj,non-factive,desear,5
1654500360,1,PennController,31,_Trial_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+4,24,subj,factive,reconocer,5
1654500360,1,PennController,31,_Header_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+4,24,subj,factive,reconocer,5
1654500360,1,PennController,31,_Header_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+4,24,subj,factive,reconocer,5
1654500360,1,Scale,escala,Choice,1,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+4,24,subj,factive,reconocer,5
1654500360,1,PennController,31,_Trial_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+4,24,subj,factive,reconocer,5
1654500360,1,PennController,9,_Trial_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+2+ind,2,ind,factive,saber,13
1654500360,1,PennController,9,_Header_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+2+ind,2,ind,factive,saber,13
1654500360,1,PennController,9,_Header_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+2+ind,2,ind,factive,saber,13
1654500360,1,Scale,escala,Choice,5,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+2+ind,2,ind,factive,saber,13
1654500360,1,PennController,9,_Trial_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+2+ind,2,ind,factive,saber,13
1654500360,1,PennController,13,_Trial_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+6+ind,6,ind,factive,notar,9
1654500360,1,PennController,13,_Header_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+6+ind,6,ind,factive,notar,9
1654500360,1,PennController,13,_Header_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+6+ind,6,ind,factive,notar,9
1654500360,1,Scale,escala,Choice,1,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+6+ind,6,ind,factive,notar,9
1654500360,1,PennController,13,_Trial_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+6+ind,6,ind,factive,notar,9
1654500360,1,PennController,20,_Trial_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+13+subj,13,subj,non-factive,pensar,11
1654500360,1,PennController,20,_Header_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+13+subj,13,subj,non-factive,pensar,11
1654500360,1,PennController,20,_Header_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+13+subj,13,subj,non-factive,pensar,11
1654500360,1,Scale,escala,Choice,5,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+13+subj,13,subj,non-factive,pensar,11
1654500360,1,PennController,20,_Trial_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+13+subj,13,subj,non-factive,pensar,11
1654500360,1,PennController,22,_Trial_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+15+subj,15,subj,non-factive,asumir,13
1654500360,1,PennController,22,_Header_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+15+subj,15,subj,non-factive,asumir,13
1654500360,1,PennController,22,_Header_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+15+subj,15,subj,non-factive,asumir,13
1654500360,1,Scale,escala,Choice,5,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+15+subj,15,subj,non-factive,asumir,13
1654500360,1,PennController,22,_Trial_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+15+subj,15,subj,non-factive,asumir,13
1654500360,1,PennController,41,_Trial_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+14+presente,34,subj,,querer,4
1654500360,1,PennController,41,_Header_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+14+presente,34,subj,,querer,4
1654500360,1,PennController,41,_Header_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+14+presente,34,subj,,querer,4
1654500360,1,Scale,escala,Choice,5,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+14+presente,34,subj,,querer,4
1654500360,1,PennController,41,_Trial_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+14+presente,34,subj,,querer,4
1654500360,1,PennController,40,_Trial_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+13+pasado,33,subj,,querer,5
1654500360,1,PennController,40,_Header_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+13+pasado,33,subj,,querer,5
1654500360,1,PennController,40,_Header_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+13+pasado,33,subj,,querer,5
1654500360,1,Scale,escala,Choice,1,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+13+pasado,33,subj,,querer,5
1654500360,1,PennController,40,_Trial_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+13+pasado,33,subj,,querer,5
